
Кол-во файлов в директории 21

Данные в словаре
1,  Wolf,  CS GO,  30.01.2026,  18:10,  19:05,  55,  win
2,  Mike,  CS GO,  30.01.2026,  18:10,  19:05,  55 ,  lose
3,  GMikERT,  DOTA 2,  01.02.2026,  12:00,  13:20,  80,  win
3,  GMikERT,  DOTA 2,  01.02.2026,  12:00,  13:20,  80,  win
4,  Mikke,  CS GO,  01.02.2026,  13:00,  14:11,  71,  lose
5,  Jimmy,  CS GO,  01.02.2026,  14:10,  15:00,  50,  win
6,  ShadowKitsune,  CS GO,  01.02.2026,  15:35,  16:10,  35,  win
7,  ByteRonin,  DOTA 2,  01.02.2026,  16:10,  17:30,  80,  win
8,  NeonVortex,  DOTA 2,  01.02.2026,  17:46,  18:20,  34,  win
9,  FrostNova,  DOTA 2,  01.02.2026,  18:19,  19:20,  61,  win
10,  CyberShogun,  GTA V,  02.02.2026,  19:05,  19:50,  45,  lose
11,  DarkPixel,  Battlefield,  02.02.2026,  20:56,  21:46,  50,  lose
12,  SilentTenshi,  Sims IV,  02.02.2026,  21:00,  22:00,  60,  lose
13,  QuantumFox,  Cities: Skylines,  02.02.2026,  21:13,  23:13,  120,  lose
14,  GhostCircuit,  DOTA 2,  02.02.2026,  21:47,  22:48,  62,  lose
15,  LunarDrift,  Cities: Skylines,  02.02.2026,  21:59,  23:10,  71,  lose
16,  IronSakura,  GTA V,  02.02.2026,  22:00,  23:50,  110,  lose
17,  HexaStorm,  CS GO,  03.02.2026,  15:30,  16:10,  40,  win
18,  NightKarma,  Cities: Skylines,  03.02.2026,  15:48,  16:12,  24,  lose
19,  VoidSamurai,  Sims IV,  03.02.2026,  16:52,  23:52,  420,  win
20,  ArcticByte,  Battlefield,  03.02.2026,  17:46,  19:46,  120,  lose
21,  SolarPhantom,  Battlefield,  04.02.2026,  08:06,  10:46,  160,  win
22,  RavenCore,  GTA V,  04.02.2026,  09:00,  12:00,  180,  lose
23,  MysticGlitch,  Cities: Skylines,  04.02.2026,  09:30,  12:30,  180,  win
24,  CrimsonWave,  Sims IV,  04.02.2026,  10:00,  11:00,  60,  win
25,  ZeroGravityX,  DOTA 2,  04.02.2026,  12:00,  13:20,  80,  win
26,  SilverHawk,  CS GO,  04.02.2026,  13:00,  14:11,  71,  win
27,  BlazeCipher,  CS GO,  04.02.2026,  15:30,  16:10,  40,  win
28,  StormNeko,  CS GO,  04.02.2026,  17:00,  22:00,  300,  lose
29,  AlphaSpecter,  DOTA 2,  05.02.2026,  07:30,  09:30,  120,  lose
30,  TurboKage,  DOTA 2,  05.02.2026,  07:40,  10:40,  180,  lose
31,  FrostBitten,  DOTA 2,  05.02.2026,  08:20,  11:00,  160,  win
